Gene description,Gene stable ID,Gene name,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand,Gene type
"novel transcript, antisense to PDXK",ENSG00000309574,,21,43725345,43727693,-1,lncRNA
"novel transcript, sense intronic to C21orf33and PDXKand MX2",ENSG00000287507,,21,43768293,43771668,1,lncRNA
cystatin B [Source:HGNC Symbol;Acc:HGNC:2482],ENSG00000160213,CSTB,21,43772511,43776579,-1,protein_coding
"novel transcript, sense intronic to GATD3",ENSG00000310147,,21,43776585,43779805,1,lncRNA
transmembrane protein 97 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39640],ENSG00000234030,TMEM97P1,21,43783123,43783573,1,processed_pseudogene
ribosomal RNA processing 1 [Source:HGNC Symbol;Acc:HGNC:18785],ENSG00000160214,RRP1,21,43789513,43805757,1,protein_coding
apoptosis associated transcript in bladder cancer [Source:HGNC Symbol;Acc:HGNC:51526],ENSG00000215458,AATBC,21,43805758,43812567,-1,lncRNA
MYL6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:7588],ENSG00000226543,MYL6P1,21,43855890,43856342,-1,processed_pseudogene
1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:326],ENSG00000160216,AGPAT3,21,43865223,43987592,1,protein_coding
"novel transcript, sense intronic to C21orf33and AGPAT3",ENSG00000289546,,21,43884375,43889812,1,lncRNA
"RNA, U6 small nuclear 859, pseudogene [Source:HGNC Symbol;Acc:HGNC:47822]",ENSG00000199598,RNU6-859P,21,43919795,43919901,-1,snRNA
novel protein,ENSG00000288593,,21,43939919,43959673,1,protein_coding
"RNA, U6 small nuclear 1150, pseudogene [Source:HGNC Symbol;Acc:HGNC:48113]",ENSG00000252606,RNU6-1150P,21,43996322,43996420,-1,snRNA
trafficking protein particle complex subunit 10 [Source:HGNC Symbol;Acc:HGNC:11868],ENSG00000160218,TRAPPC10,21,44012309,44106553,1,protein_coding
H2A.Z histone pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:4742],ENSG00000213440,H2AZP1,21,44046347,44047041,-1,processed_pseudogene
PWP2 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:9711],ENSG00000241945,PWP2,21,44107358,44131181,1,protein_coding
"novel transcript, antisense to GATD3",ENSG00000298760,,21,44132184,44133483,-1,lncRNA
glutamine amidotransferase class 1 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:1273],ENSG00000160221,GATD3,21,44133610,44210114,1,protein_coding
novel transcript,ENSG00000294982,,21,44153366,44168499,1,lncRNA
long intergenic non-protein coding RNA 1678 [Source:HGNC Symbol;Acc:HGNC:52466],ENSG00000225331,LINC01678,21,44158740,44160137,-1,lncRNA
novel transcript,ENSG00000285413,,21,44167809,44194338,-1,lncRNA
novel transcript,ENSG00000237604,,21,44175489,44176453,1,lncRNA
novel transcript,ENSG00000232124,,21,44198797,44208090,-1,lncRNA
"novel transcript, sense intronic to GATD3",ENSG00000295834,,21,44206886,44207198,1,lncRNA
inducible T cell costimulator ligand [Source:HGNC Symbol;Acc:HGNC:17087],ENSG00000160223,ICOSLG,21,44215382,44241446,-1,protein_coding
novel transcript,ENSG00000278158,,21,44241551,44242085,1,lncRNA
novel transcript,ENSG00000275799,,21,44244545,44244993,1,lncRNA
DNA methyltransferase 3 like [Source:HGNC Symbol;Acc:HGNC:2980],ENSG00000142182,DNMT3L,21,44246339,44262216,-1,protein_coding
DNMT3L antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40189],ENSG00000232010,DNMT3L-AS1,21,44250813,44251520,1,lncRNA
autoimmune regulator [Source:HGNC Symbol;Acc:HGNC:360],ENSG00000160224,AIRE,21,44285838,44298648,1,protein_coding
"phosphofructokinase, liver type [Source:HGNC Symbol;Acc:HGNC:8876]",ENSG00000141959,PFKL,21,44300017,44327377,1,protein_coding
"novel transcript, sense overlapping C21orf2",ENSG00000241728,,21,44328944,44330221,-1,lncRNA
cilia and flagella associated protein 410 [Source:HGNC Symbol;Acc:HGNC:1260],ENSG00000160226,CFAP410,21,44328944,44339402,-1,protein_coding
"novel transcript, antisense to C21orf2",ENSG00000184441,,21,44331234,44335851,1,lncRNA
novel transcript,ENSG00000232969,,21,44339376,44340692,1,lncRNA
novel transcript,ENSG00000260256,,21,44347767,44348295,-1,lncRNA
transient receptor potential cation channel subfamily M member 2 [Source:HGNC Symbol;Acc:HGNC:12339],ENSG00000142185,TRPM2,21,44350072,44445246,1,protein_coding
"novel transcript, antisense to TRPM2",ENSG00000302477,,21,44358024,44359008,-1,lncRNA
TRPM2 antisense RNA [Source:HGNC Symbol;Acc:HGNC:50758],ENSG00000230061,TRPM2-AS,21,44414588,44425272,-1,lncRNA
,ENSG00000266692,,21,44437121,44437175,1,snoRNA
,ENSG00000264452,,21,44439035,44439110,1,snoRNA
LRRC3 divergent transcript [Source:HGNC Symbol;Acc:HGNC:43636],ENSG00000229356,LRRC3-DT,21,44447142,44455302,-1,lncRNA
leucine rich repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:14965],ENSG00000160233,LRRC3,21,44455490,44462196,1,protein_coding
MT-CYB pseudogene 21 [Source:HGNC Symbol;Acc:HGNC:51977],ENSG00000224747,MTCYBP21,21,44469929,44472516,-1,transcribed_processed_pseudogene
MT-ND6 pseudogene 21 [Source:HGNC Symbol;Acc:HGNC:39639],ENSG00000223431,MTND6P21,21,44472895,44473739,1,processed_pseudogene
MT-ND5 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39644],ENSG00000227999,MTND5P1,21,44473723,44475097,-1,transcribed_processed_pseudogene
hepatocellular carcinoma ferroptosis associative lncRNA [Source:HGNC Symbol;Acc:HGNC:56244],ENSG00000274225,HEPFAL,21,44475723,44478493,1,lncRNA
novel transcript,ENSG00000289857,,21,44482985,44483400,1,lncRNA
long intergenic non-protein coding RNA 2575 [Source:HGNC Symbol;Acc:HGNC:53747],ENSG00000228709,LINC02575,21,44485463,44495519,1,lncRNA
thrombospondin type laminin G domain and EAR repeats [Source:HGNC Symbol;Acc:HGNC:1268],ENSG00000175894,TSPEAR,21,44497893,44711873,-1,protein_coding
TSPEAR antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:1271],ENSG00000235890,TSPEAR-AS1,21,44506807,44525952,1,lncRNA
"novel transcript, antisense to TSPEAR",ENSG00000287088,,21,44530172,44533145,1,lncRNA
keratin associated protein 10-1 [Source:HGNC Symbol;Acc:HGNC:22966],ENSG00000215455,KRTAP10-1,21,44538981,44540195,-1,protein_coding
keratin associated protein 10-2 [Source:HGNC Symbol;Acc:HGNC:22967],ENSG00000205445,KRTAP10-2,21,44550357,44551505,-1,protein_coding
keratin associated protein 10-3 [Source:HGNC Symbol;Acc:HGNC:22968],ENSG00000212935,KRTAP10-3,21,44557790,44558795,-1,protein_coding
keratin associated protein 10-4 [Source:HGNC Symbol;Acc:HGNC:20521],ENSG00000215454,KRTAP10-4,21,44573729,44575371,1,protein_coding
keratin associated protein 10-5 [Source:HGNC Symbol;Acc:HGNC:22969],ENSG00000241123,KRTAP10-5,21,44579455,44580604,-1,protein_coding
keratin associated protein 10-6 [Source:HGNC Symbol;Acc:HGNC:20523],ENSG00000188155,KRTAP10-6,21,44591268,44592505,-1,protein_coding
keratin associated protein 10-7 [Source:HGNC Symbol;Acc:HGNC:22970],ENSG00000272804,KRTAP10-7,21,44600597,44602174,1,protein_coding
keratin associated protein 10-8 [Source:HGNC Symbol;Acc:HGNC:20525],ENSG00000187766,KRTAP10-8,21,44612079,44612954,1,protein_coding
keratin associated protein 10-9 [Source:HGNC Symbol;Acc:HGNC:22971],ENSG00000221837,KRTAP10-9,21,44627093,44628378,1,protein_coding
keratin associated protein 10-10 [Source:HGNC Symbol;Acc:HGNC:22972],ENSG00000221859,KRTAP10-10,21,44637356,44638455,1,protein_coding
keratin associated protein 10-11 [Source:HGNC Symbol;Acc:HGNC:20528],ENSG00000243489,KRTAP10-11,21,44646414,44647650,1,protein_coding
keratin associated protein 12-4 [Source:HGNC Symbol;Acc:HGNC:20532],ENSG00000212933,KRTAP12-4,21,44654213,44654659,-1,protein_coding
keratin associated protein 12-3 [Source:HGNC Symbol;Acc:HGNC:20531],ENSG00000205439,KRTAP12-3,21,44657932,44658341,1,protein_coding
keratin associated protein 12-2 [Source:HGNC Symbol;Acc:HGNC:20530],ENSG00000221864,KRTAP12-2,21,44666189,44666927,-1,protein_coding
inner membrane mitochondrial protein pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:6048],ENSG00000229880,IMMTP1,21,44675868,44678086,-1,processed_pseudogene
keratin associated protein 12-1 [Source:HGNC Symbol;Acc:HGNC:20529],ENSG00000187175,KRTAP12-1,21,44681576,44682163,-1,protein_coding
"keratin associated protein 12-5, pseudogene [Source:HGNC Symbol;Acc:HGNC:34212]",ENSG00000276647,KRTAP12-5P,21,44686358,44686629,1,processed_pseudogene
keratin associated protein 10-12 [Source:HGNC Symbol;Acc:HGNC:20533],ENSG00000189169,KRTAP10-12,21,44697172,44698044,1,protein_coding
"keratin associated protein 10-13, pseudogene [Source:HGNC Symbol;Acc:HGNC:34213]",ENSG00000236382,KRTAP10-13P,21,44702221,44702791,1,unprocessed_pseudogene
novel transcript,ENSG00000289144,,21,44748867,44751047,1,lncRNA
novel transcript,ENSG00000302159,,21,44761529,44765767,-1,lncRNA
ubiquitin conjugating enzyme E2 G2 [Source:HGNC Symbol;Acc:HGNC:12483],ENSG00000184787,UBE2G2,21,44768580,44801826,-1,protein_coding
long intergenic non-protein coding RNA 1424 [Source:HGNC Symbol;Acc:HGNC:40558],ENSG00000236519,LINC01424,21,44801876,44804717,1,lncRNA
small ubiquitin like modifier 3 [Source:HGNC Symbol;Acc:HGNC:11124],ENSG00000184900,SUMO3,21,44805617,44818779,-1,protein_coding
"novel transcript, sense intronic to ITGB2 and SUMO3",ENSG00000306307,,21,44840636,44843827,-1,lncRNA
PTTG1 interacting protein [Source:HGNC Symbol;Acc:HGNC:13524],ENSG00000183255,PTTG1IP,21,44849585,44873903,-1,protein_coding
"novel transcript, antisense to ITGB2",ENSG00000289009,,21,44873976,44875810,1,lncRNA
integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155],ENSG00000160255,ITGB2,21,44885948,44932079,-1,protein_coding
ITGB2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44304],ENSG00000227039,ITGB2-AS1,21,44921033,44929682,1,lncRNA
"novel transcript, sense intronic to ITGB2",ENSG00000273027,,21,44929653,44930112,-1,lncRNA
long intergenic non-protein coding RNA 1547 [Source:HGNC Symbol;Acc:HGNC:15707],ENSG00000183250,LINC01547,21,44932814,44939951,-1,lncRNA
novel transcript,ENSG00000272825,,21,44936303,44936954,1,lncRNA
SLX9 ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:15811],ENSG00000160256,SLX9,21,44939938,44977014,1,protein_coding
novel transcript,ENSG00000276529,,21,44978832,44979274,1,lncRNA
long intergenic non-protein coding RNA 163 [Source:HGNC Symbol;Acc:HGNC:33165],ENSG00000234880,LINC00163,21,44989864,44994086,-1,lncRNA
long intergenic non-protein coding RNA 165 [Source:HGNC Symbol;Acc:HGNC:33166],ENSG00000261706,LINC00165,21,44994362,44995185,-1,lncRNA
P38 inhibited cutaneous squamous cell carcinoma associated lincRNA [Source:HGNC Symbol;Acc:HGNC:19725],ENSG00000275874,PICSAR,21,44999140,45004753,-1,lncRNA
novel transcript,ENSG00000307843,,21,45033333,45044380,1,lncRNA
"novel transcript, sense intronic to SUMO3",ENSG00000300952,,21,45049406,45050903,-1,lncRNA
novel transcript,ENSG00000295969,,21,45052301,45070723,1,lncRNA
signal sequence receptor subunit 4 pseudogene 1 [Source:NCBI gene (formerly Entrezgene);Acc:728039],ENSG00000293210,SSR4P1,21,45056000,45074165,-1,lncRNA
signal sequence receptor subunit 4 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23131],ENSG00000235374,SSR4P1,21,45071828,45072239,-1,transcribed_processed_pseudogene
adenosine deaminase RNA specific B1 [Source:HGNC Symbol;Acc:HGNC:226],ENSG00000197381,ADARB1,21,45073839,45226560,1,protein_coding
novel transcript,ENSG00000267857,,21,45100484,45101272,-1,lncRNA
long intergenic non-protein coding RNA 334 [Source:HGNC Symbol;Acc:HGNC:16425],ENSG00000182586,LINC00334,21,45234308,45264548,1,lncRNA
novel transcript,ENSG00000298713,,21,45246146,45248596,1,lncRNA
"novel transcript, sense intronic to SUMO3",ENSG00000298733,,21,45258396,45259235,-1,lncRNA
protein O-fucosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:14683],ENSG00000186866,POFUT2,21,45263928,45287898,-1,protein_coding
long intergenic non-protein coding RNA 205 [Source:HGNC Symbol;Acc:HGNC:16420],ENSG00000223768,LINC00205,21,45287983,45353538,1,lncRNA
"novel transcript, sense intronic to SUMO3",ENSG00000298729,,21,45290197,45293600,-1,lncRNA
long intergenic non-protein coding RNA 315 [Source:HGNC Symbol;Acc:HGNC:16621],ENSG00000184274,LINC00315,21,45299405,45326217,-1,lncRNA
novel transcript,ENSG00000288842,,21,45319756,45320834,1,lncRNA
"novel transcript, sense intronic to SUMO3",ENSG00000298750,,21,45328846,45330137,-1,lncRNA
novel transcript,ENSG00000229382,,21,45336707,45338665,1,lncRNA
long intergenic non-protein coding RNA 316 [Source:HGNC Symbol;Acc:HGNC:19723],ENSG00000237664,LINC00316,21,45338584,45364972,-1,lncRNA
"novel transcript, sense intronic to SUMO3",ENSG00000299188,,21,45371932,45376830,-1,lncRNA
MT-CO1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:39604],ENSG00000228930,MTCO1P3,21,45376191,45376382,-1,processed_pseudogene
novel transcript,ENSG00000228355,,21,45378201,45379635,-1,lncRNA
breast cancer associated ESR1 regulating natural antisense transcript 1 [Source:HGNC Symbol;Acc:HGNC:56666],ENSG00000273796,BNAT1,21,45403809,45404943,-1,lncRNA
collagen type XVIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2195],ENSG00000182871,COL18A1,21,45405123,45513721,1,protein_coding
COL18A1 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:40155],ENSG00000224574,COL18A1-AS2,21,45407386,45410065,-1,lncRNA
COL18A1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:23132],ENSG00000183535,COL18A1-AS1,21,45419716,45425070,-1,lncRNA
"novel transcript, sense intronic to COL18A1",ENSG00000306053,,21,45440717,45450600,1,lncRNA
microRNA 6815 [Source:HGNC Symbol;Acc:HGNC:50225],ENSG00000275167,MIR6815,21,45478266,45478326,1,miRNA
solute carrier family 19 member 1 [Source:HGNC Symbol;Acc:HGNC:10937],ENSG00000173638,SLC19A1,21,45493572,45573564,-1,protein_coding
novel transcript,ENSG00000307065,,21,45532741,45532848,-1,lncRNA
"novel transcript, sense intronic to SLC19A1 and LOF:SLC19A1 and SUMO3",ENSG00000307048,,21,45535501,45535777,-1,lncRNA
"novel transcript, antisense to SLC19A1",ENSG00000305941,,21,45550260,45550553,1,lncRNA
"novel transcript, antisense to SLC19A1",ENSG00000298030,,21,45551044,45551431,1,lncRNA
"novel transcript, antisense to SLC19A1",ENSG00000301966,,21,45551582,45551800,1,lncRNA
"novel transcript, sense intronic to SLC19A1 and SUMO3",ENSG00000304517,,21,45554809,45555011,-1,lncRNA
"novel transcript, antisense to SLC19A1",ENSG00000288885,,21,45555555,45556595,1,lncRNA
novel transcript,ENSG00000299414,,21,45571714,45577697,1,lncRNA
"novel transcript, sense intronic to SUMO3",ENSG00000293763,,21,45589964,45590587,-1,lncRNA
long intergenic non-protein coding RNA 1694 [Source:HGNC Symbol;Acc:HGNC:52481],ENSG00000233922,LINC01694,21,45590717,45603088,1,lncRNA
novel transcript,ENSG00000286082,,21,45595473,45625675,-1,lncRNA
novel transcript,ENSG00000286594,,21,45607207,45612561,1,lncRNA
novel transcript,ENSG00000305537,,21,45634430,45635344,1,lncRNA
"novel transcript, sense intronic to SUMO3",ENSG00000304596,,21,45640309,45642180,-1,lncRNA
novel transcript,ENSG00000304622,,21,45641087,45641390,1,lncRNA
poly(rC) binding protein 3 [Source:HGNC Symbol;Acc:HGNC:8651],ENSG00000183570,PCBP3,21,45643694,45942454,1,protein_coding
"novel transcript, antisense to PCBP3",ENSG00000275139,,21,45759804,45763758,-1,lncRNA
PCBP3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40426],ENSG00000205424,PCBP3-AS1,21,45827961,45837987,-1,lncRNA
"novel transcript, antisense to PCBP3",ENSG00000286886,,21,45861830,45888638,-1,lncRNA
novel transcript,ENSG00000276633,,21,45870854,45873345,1,lncRNA
PCBP3 overlapping transcript 1,ENSG00000280604,,21,45914296,45919483,1,lncRNA
novel transcript,ENSG00000274248,,21,45972922,45974956,1,lncRNA
"novel transcript, sense intronic to SUMO3",ENSG00000289224,,21,45975731,45977951,-1,lncRNA
novel transcript,ENSG00000304160,,21,45977345,45979411,1,lncRNA
collagen type VI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2211],ENSG00000142156,COL6A1,21,45981755,46005050,1,protein_coding
novel transcript,ENSG00000224413,,21,46037052,46039807,1,lncRNA
novel transcript,ENSG00000228235,,21,46052596,46053105,1,lncRNA
novel transcript,ENSG00000308668,,21,46053218,46054471,1,lncRNA
novel transcript,ENSG00000308652,,21,46053818,46056967,-1,lncRNA
novel transcript,ENSG00000226115,,21,46056470,46057576,1,lncRNA
proteasome subunit alpha 6 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:39608],ENSG00000233767,PSMA6P3,21,46072085,46072248,-1,processed_pseudogene
COL6A2 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55814],ENSG00000227438,COL6A2-DT,21,46093264,46097530,-1,lncRNA
collagen type VI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2212],ENSG00000142173,COL6A2,21,46096722,46132851,1,protein_coding
formimidoyltransferase cyclodeaminase [Source:HGNC Symbol;Acc:HGNC:3974],ENSG00000160282,FTCD,21,46136083,46155581,-1,protein_coding
FTCD antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40243],ENSG00000237338,FTCD-AS1,21,46151614,46152647,1,lncRNA
spermatogenesis and centriole associated 1 like [Source:HGNC Symbol;Acc:HGNC:1298],ENSG00000160284,SPATC1L,21,46161148,46184476,-1,protein_coding
novel transcript,ENSG00000228404,,21,46184677,46189204,1,lncRNA
lanosterol synthase [Source:HGNC Symbol;Acc:HGNC:6708],ENSG00000160285,LSS,21,46188141,46228840,-1,protein_coding
novel transcript,ENSG00000223901,,21,46220269,46225364,1,lncRNA
MCM3AP antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:16417],ENSG00000215424,MCM3AP-AS1,21,46228394,46284359,1,lncRNA
minichromosome maintenance complex component 3 associated protein [Source:HGNC Symbol;Acc:HGNC:6946],ENSG00000160294,MCM3AP,21,46235133,46286297,-1,protein_coding
novel transcript,ENSG00000228137,,21,46246890,46247682,1,lncRNA
"novel transcript, antisense to MCM3APAS",ENSG00000239415,,21,46251549,46254133,-1,lncRNA
ybeY metalloendoribonuclease [Source:HGNC Symbol;Acc:HGNC:1299],ENSG00000182362,YBEY,21,46286336,46297811,1,protein_coding
chromosome 21 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:1300],ENSG00000160298,C21orf58,21,46300181,46324460,-1,protein_coding
pericentrin [Source:HGNC Symbol;Acc:HGNC:16068],ENSG00000160299,PCNT,21,46324124,46445769,1,protein_coding
novel protein,ENSG00000286224,,21,46326288,46326491,1,protein_coding
ribosomal protein L18a pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:23774],ENSG00000225043,RPL18AP2,21,46420553,46421034,-1,processed_pseudogene
novel transcript,ENSG00000289421,,21,46448403,46458714,-1,lncRNA
disco interacting protein 2 homolog A [Source:HGNC Symbol;Acc:HGNC:17217],ENSG00000160305,DIP2A,21,46458877,46572743,1,protein_coding
DIP2A intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41430],ENSG00000223692,DIP2A-IT1,21,46462471,46469306,1,lncRNA
"RNA, U6 small nuclear 396, pseudogene [Source:HGNC Symbol;Acc:HGNC:47359]",ENSG00000202239,RNU6-396P,21,46525618,46525722,1,snRNA
novel transcript,ENSG00000303462,,21,46596135,46598117,-1,lncRNA
S100 calcium binding protein B [Source:HGNC Symbol;Acc:HGNC:10500],ENSG00000160307,S100B,21,46598508,46605208,-1,protein_coding
protein arginine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:5186],ENSG00000160310,PRMT2,21,46635595,46665698,1,protein_coding
DSTN pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23769],ENSG00000230982,DSTNP1,21,46653558,46654022,-1,processed_pseudogene
novel transcript,ENSG00000289511,,21,46667377,46669252,1,lncRNA
novel transcript,ENSG00000295025,,21,46682340,46691092,-1,lncRNA
ribosomal protein L23a pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:10321],ENSG00000212932,RPL23AP4,21,46690764,46691226,1,processed_pseudogene
